,survived,pclass,sex,age,sibsp,parch,fare,embarked,class,who,adult_male,deck,embark_town,alive,alone,family size
269,1,1,female,35,0,0,135.6333,S,First,woman,FALSE,C,Southampton,yes,TRUE,0
273,0,1,male,37,0,1,29.7,C,First,man,TRUE,C,Cherbourg,no,FALSE,1
275,1,1,female,63,1,0,77.9583,S,First,woman,FALSE,D,Southampton,yes,FALSE,1
284,0,1,male,29.69911765,0,0,26,S,First,man,TRUE,A,Southampton,no,TRUE,0
291,1,1,female,19,1,0,91.0792,C,First,woman,FALSE,B,Cherbourg,yes,FALSE,1
292,0,2,male,36,0,0,12.875,C,Second,man,TRUE,D,Cherbourg,no,TRUE,0
297,0,1,female,2,1,2,151.55,S,First,child,FALSE,C,Southampton,no,FALSE,3
298,1,1,male,29.69911765,0,0,30.5,S,First,man,TRUE,C,Southampton,yes,TRUE,0
299,1,1,female,50,0,1,247.5208,C,First,woman,FALSE,B,Cherbourg,yes,FALSE,1
303,1,2,female,29.69911765,0,0,12.35,Q,Second,woman,FALSE,E,Queenstown,yes,TRUE,0
305,1,1,male,0.92,1,2,151.55,S,First,child,FALSE,C,Southampton,yes,FALSE,3
307,1,1,female,17,1,0,108.9,C,First,woman,FALSE,C,Cherbourg,yes,FALSE,1
309,1,1,female,30,0,0,56.9292,C,First,woman,FALSE,E,Cherbourg,yes,TRUE,0
310,1,1,female,24,0,0,83.1583,C,First,woman,FALSE,C,Cherbourg,yes,TRUE,0
311,1,1,female,18,2,2,262.375,C,First,woman,FALSE,B,Cherbourg,yes,FALSE,4
318,1,1,female,31,0,2,164.8667,S,First,woman,FALSE,C,Southampton,yes,FALSE,2
319,1,1,female,40,1,1,134.5,C,First,woman,FALSE,E,Cherbourg,yes,FALSE,2
325,1,1,female,36,0,0,135.6333,C,First,woman,FALSE,C,Cherbourg,yes,TRUE,0
327,1,2,female,36,0,0,13,S,Second,woman,FALSE,D,Southampton,yes,TRUE,0
329,1,1,female,16,0,1,57.9792,C,First,woman,FALSE,B,Cherbourg,yes,FALSE,1
331,0,1,male,45.5,0,0,28.5,S,First,man,TRUE,C,Southampton,no,TRUE,0
332,0,1,male,38,0,1,153.4625,S,First,man,TRUE,C,Southampton,no,FALSE,1
336,0,1,male,29,1,0,66.6,S,First,man,TRUE,C,Southampton,no,FALSE,1
337,1,1,female,41,0,0,134.5,C,First,woman,FALSE,E,Cherbourg,yes,TRUE,0
340,1,2,male,2,1,1,26,S,Second,child,FALSE,F,Southampton,yes,FALSE,2
341,1,1,female,24,3,2,263,S,First,woman,FALSE,C,Southampton,yes,FALSE,5
345,1,2,female,24,0,0,13,S,Second,woman,FALSE,F,Southampton,yes,TRUE,0
351,0,1,male,29.69911765,0,0,35,S,First,man,TRUE,C,Southampton,no,TRUE,0
356,1,1,female,22,0,1,55,S,First,woman,FALSE,E,Southampton,yes,FALSE,1
366,1,1,female,60,1,0,75.25,C,First,woman,FALSE,D,Cherbourg,yes,FALSE,1
369,1,1,female,24,0,0,69.3,C,First,woman,FALSE,B,Cherbourg,yes,TRUE,0
370,1,1,male,25,1,0,55.4417,C,First,man,TRUE,E,Cherbourg,yes,FALSE,1
377,0,1,male,27,0,2,211.5,C,First,man,TRUE,C,Cherbourg,no,FALSE,2
390,1,1,male,36,1,2,120,S,First,man,TRUE,B,Southampton,yes,FALSE,3
393,1,1,female,23,1,0,113.275,C,First,woman,FALSE,D,Cherbourg,yes,FALSE,1
394,1,3,female,24,0,2,16.7,S,Third,woman,FALSE,G,Southampton,yes,FALSE,2
412,1,1,female,33,1,0,90,Q,First,woman,FALSE,C,Queenstown,yes,FALSE,1
429,1,3,male,32,0,0,8.05,S,Third,man,TRUE,E,Southampton,yes,TRUE,0
430,1,1,male,28,0,0,26.55,S,First,man,TRUE,C,Southampton,yes,TRUE,0
434,0,1,male,50,1,0,55.9,S,First,man,TRUE,E,Southampton,no,FALSE,1
435,1,1,female,14,1,2,120,S,First,child,FALSE,B,Southampton,yes,FALSE,3
438,0,1,male,64,1,4,263,S,First,man,TRUE,C,Southampton,no,FALSE,5
445,1,1,male,4,0,2,81.8583,S,First,child,FALSE,A,Southampton,yes,FALSE,2
449,1,1,male,52,0,0,30.5,S,First,man,TRUE,C,Southampton,yes,TRUE,0
452,0,1,male,30,0,0,27.75,C,First,man,TRUE,C,Cherbourg,no,TRUE,0
453,1,1,male,49,1,0,89.1042,C,First,man,TRUE,C,Cherbourg,yes,FALSE,1
456,0,1,male,65,0,0,26.55,S,First,man,TRUE,E,Southampton,no,TRUE,0
457,1,1,female,29.69911765,1,0,51.8625,S,First,woman,FALSE,D,Southampton,yes,FALSE,1
460,1,1,male,48,0,0,26.55,S,First,man,TRUE,E,Southampton,yes,TRUE,0
462,0,1,male,47,0,0,38.5,S,First,man,TRUE,E,Southampton,no,TRUE,0
473,1,2,female,23,0,0,13.7917,C,Second,woman,FALSE,D,Cherbourg,yes,TRUE,0
475,0,1,male,29.69911765,0,0,52,S,First,man,TRUE,A,Southampton,no,TRUE,0
484,1,1,male,25,1,0,91.0792,C,First,man,TRUE,B,Cherbourg,yes,FALSE,1
486,1,1,female,35,1,0,90,S,First,woman,FALSE,C,Southampton,yes,FALSE,1
487,0,1,male,58,0,0,29.7,C,First,man,TRUE,B,Cherbourg,no,TRUE,0
492,0,1,male,55,0,0,30.5,S,First,man,TRUE,C,Southampton,no,TRUE,0
496,1,1,female,54,1,0,78.2667,C,First,woman,FALSE,D,Cherbourg,yes,FALSE,1
498,0,1,female,25,1,2,151.55,S,First,woman,FALSE,C,Southampton,no,FALSE,3
504,1,1,female,16,0,0,86.5,S,First,woman,FALSE,B,Southampton,yes,TRUE,0
505,0,1,male,18,1,0,108.9,C,First,man,TRUE,C,Cherbourg,no,FALSE,1
512,1,1,male,36,0,0,26.2875,S,First,man,TRUE,E,Southampton,yes,TRUE,0
515,0,1,male,47,0,0,34.0208,S,First,man,TRUE,D,Southampton,no,TRUE,0
516,1,2,female,34,0,0,10.5,S,Second,woman,FALSE,F,Southampton,yes,TRUE,0
520,1,1,female,30,0,0,93.5,S,First,woman,FALSE,B,Southampton,yes,TRUE,0
523,1,1,female,44,0,1,57.9792,C,First,woman,FALSE,B,Cherbourg,yes,FALSE,1
527,0,1,male,29.69911765,0,0,221.7792,S,First,man,TRUE,C,Southampton,no,TRUE,0
536,0,1,male,45,0,0,26.55,S,First,man,TRUE,B,Southampton,no,TRUE,0
539,1,1,female,22,0,2,49.5,C,First,woman,FALSE,B,Cherbourg,yes,FALSE,2
540,1,1,female,36,0,2,71,S,First,woman,FALSE,B,Southampton,yes,FALSE,2
544,0,1,male,50,1,0,106.425,C,First,man,TRUE,C,Cherbourg,no,FALSE,1
550,1,1,male,17,0,2,110.8833,C,First,man,TRUE,C,Cherbourg,yes,FALSE,2
556,1,1,female,48,1,0,39.6,C,First,woman,FALSE,A,Cherbourg,yes,FALSE,1
558,1,1,female,39,1,1,79.65,S,First,woman,FALSE,E,Southampton,yes,FALSE,2
571,1,1,female,53,2,0,51.4792,S,First,woman,FALSE,C,Southampton,yes,FALSE,2
572,1,1,male,36,0,0,26.3875,S,First,man,TRUE,E,Southampton,yes,TRUE,0
577,1,1,female,39,1,0,55.9,S,First,woman,FALSE,E,Southampton,yes,FALSE,1
581,1,1,female,39,1,1,110.8833,C,First,woman,FALSE,C,Cherbourg,yes,FALSE,2
583,0,1,male,36,0,0,40.125,C,First,man,TRUE,A,Cherbourg,no,TRUE,0
585,1,1,female,18,0,2,79.65,S,First,woman,FALSE,E,Southampton,yes,FALSE,2
587,1,1,male,60,1,1,79.2,C,First,man,TRUE,B,Cherbourg,yes,FALSE,2
591,1,1,female,52,1,0,78.2667,C,First,woman,FALSE,D,Cherbourg,yes,FALSE,1
599,1,1,male,49,1,0,56.9292,C,First,man,TRUE,A,Cherbourg,yes,FALSE,1
609,1,1,female,40,0,0,153.4625,S,First,woman,FALSE,C,Southampton,yes,TRUE,0
618,1,2,female,4,2,1,39,S,Second,child,FALSE,F,Southampton,yes,FALSE,3
621,1,1,male,42,1,0,52.5542,S,First,man,TRUE,D,Southampton,yes,FALSE,1
625,0,1,male,61,0,0,32.3208,S,First,man,TRUE,D,Southampton,no,TRUE,0
627,1,1,female,21,0,0,77.9583,S,First,woman,FALSE,D,Southampton,yes,TRUE,0
630,1,1,male,80,0,0,30,S,First,man,TRUE,A,Southampton,yes,TRUE,0
632,1,1,male,32,0,0,30.5,C,First,man,TRUE,B,Cherbourg,yes,TRUE,0
641,1,1,female,24,0,0,69.3,C,First,woman,FALSE,B,Cherbourg,yes,TRUE,0
645,1,1,male,48,1,0,76.7292,C,First,man,TRUE,D,Cherbourg,yes,FALSE,1
647,1,1,male,56,0,0,35.5,C,First,man,TRUE,A,Cherbourg,yes,TRUE,0
659,0,1,male,58,0,2,113.275,C,First,man,TRUE,D,Cherbourg,no,FALSE,2
662,0,1,male,47,0,0,25.5875,S,First,man,TRUE,E,Southampton,no,TRUE,0
669,1,1,female,29.69911765,1,0,52,S,First,woman,FALSE,C,Southampton,yes,FALSE,1
671,0,1,male,31,1,0,52,S,First,man,TRUE,B,Southampton,no,FALSE,1
679,1,1,male,36,0,1,512.3292,C,First,man,TRUE,B,Cherbourg,yes,FALSE,1
681,1,1,male,27,0,0,76.7292,C,First,man,TRUE,D,Cherbourg,yes,TRUE,0
689,1,1,female,15,0,1,211.3375,S,First,child,FALSE,B,Southampton,yes,FALSE,1
690,1,1,male,31,1,0,57,S,First,man,TRUE,B,Southampton,yes,FALSE,1
698,0,1,male,49,1,1,110.8833,C,First,man,TRUE,C,Cherbourg,no,FALSE,2
699,0,3,male,42,0,0,7.65,S,Third,man,TRUE,F,Southampton,no,TRUE,0
700,1,1,female,18,1,0,227.525,C,First,woman,FALSE,C,Cherbourg,yes,FALSE,1
701,1,1,male,35,0,0,26.2875,S,First,man,TRUE,E,Southampton,yes,TRUE,0
707,1,1,male,42,0,0,26.2875,S,First,man,TRUE,E,Southampton,yes,TRUE,0
710,1,1,female,24,0,0,49.5042,C,First,woman,FALSE,C,Cherbourg,yes,TRUE,0
711,0,1,male,29.69911765,0,0,26.55,S,First,man,TRUE,C,Southampton,no,TRUE,0
712,1,1,male,48,1,0,52,S,First,man,TRUE,C,Southampton,yes,FALSE,1
715,0,3,male,19,0,0,7.65,S,Third,man,TRUE,F,Southampton,no,TRUE,0
716,1,1,female,38,0,0,227.525,C,First,woman,FALSE,C,Cherbourg,yes,TRUE,0
717,1,2,female,27,0,0,10.5,S,Second,woman,FALSE,E,Southampton,yes,TRUE,0
724,1,1,male,27,1,0,53.1,S,First,man,TRUE,E,Southampton,yes,FALSE,1
730,1,1,female,29,0,0,211.3375,S,First,woman,FALSE,B,Southampton,yes,TRUE,0
737,1,1,male,35,0,0,512.3292,C,First,man,TRUE,B,Cherbourg,yes,TRUE,0
740,1,1,male,29.69911765,0,0,30,S,First,man,TRUE,D,Southampton,yes,TRUE,0
741,0,1,male,36,1,0,78.85,S,First,man,TRUE,C,Southampton,no,FALSE,1
742,1,1,female,21,2,2,262.375,C,First,woman,FALSE,B,Cherbourg,yes,FALSE,4
745,0,1,male,70,1,1,71,S,First,man,TRUE,B,Southampton,no,FALSE,2
748,0,1,male,19,1,0,53.1,S,First,man,TRUE,D,Southampton,no,FALSE,1
751,1,3,male,6,0,1,12.475,S,Third,child,FALSE,E,Southampton,yes,FALSE,1
759,1,1,female,33,0,0,86.5,S,First,woman,FALSE,B,Southampton,yes,TRUE,0
763,1,1,female,36,1,2,120,S,First,woman,FALSE,B,Southampton,yes,FALSE,3
765,1,1,female,51,1,0,77.9583,S,First,woman,FALSE,D,Southampton,yes,FALSE,1
772,0,2,female,57,0,0,10.5,S,Second,woman,FALSE,E,Southampton,no,TRUE,0
776,0,3,male,29.69911765,0,0,7.75,Q,Third,man,TRUE,F,Queenstown,no,TRUE,0
779,1,1,female,43,0,1,211.3375,S,First,woman,FALSE,B,Southampton,yes,FALSE,1
781,1,1,female,17,1,0,57,S,First,woman,FALSE,B,Southampton,yes,FALSE,1
782,0,1,male,29,0,0,30,S,First,man,TRUE,D,Southampton,no,TRUE,0
789,0,1,male,46,0,0,79.2,C,First,man,TRUE,B,Cherbourg,no,TRUE,0
796,1,1,female,49,0,0,25.9292,S,First,woman,FALSE,D,Southampton,yes,TRUE,0
802,1,1,male,11,1,2,120,S,First,child,FALSE,B,Southampton,yes,FALSE,3
806,0,1,male,39,0,0,0,S,First,man,TRUE,A,Southampton,no,TRUE,0
809,1,1,female,33,1,0,53.1,S,First,woman,FALSE,E,Southampton,yes,FALSE,1
815,0,1,male,29.69911765,0,0,0,S,First,man,TRUE,B,Southampton,no,TRUE,0
820,1,1,female,52,1,1,93.5,S,First,woman,FALSE,B,Southampton,yes,FALSE,2
823,1,3,female,27,0,1,12.475,S,Third,woman,FALSE,E,Southampton,yes,FALSE,1
835,1,1,female,39,1,1,83.1583,C,First,woman,FALSE,E,Cherbourg,yes,FALSE,2
839,1,1,male,29.69911765,0,0,29.7,C,First,man,TRUE,C,Cherbourg,yes,TRUE,0
849,1,1,female,29.69911765,1,0,89.1042,C,First,woman,FALSE,C,Cherbourg,yes,FALSE,1
853,1,1,female,16,0,1,39.4,S,First,woman,FALSE,D,Southampton,yes,FALSE,1
857,1,1,male,51,0,0,26.55,S,First,man,TRUE,E,Southampton,yes,TRUE,0
862,1,1,female,48,0,0,25.9292,S,First,woman,FALSE,D,Southampton,yes,TRUE,0
867,0,1,male,31,0,0,50.4958,S,First,man,TRUE,A,Southampton,no,TRUE,0
871,1,1,female,47,1,1,52.5542,S,First,woman,FALSE,D,Southampton,yes,FALSE,2
872,0,1,male,33,0,0,5,S,First,man,TRUE,B,Southampton,no,TRUE,0
879,1,1,female,56,0,1,83.1583,C,First,woman,FALSE,C,Cherbourg,yes,FALSE,1
887,1,1,female,19,0,0,30,S,First,woman,FALSE,B,Southampton,yes,TRUE,0
889,1,1,male,26,0,0,30,C,First,man,TRUE,C,Cherbourg,yes,TRUE,0
